lon,lat
17.5213,59.3579
18.115,59.068
17.12,59.65
16.4526,59.3821
17.9043,60.2358
16.3944,59.0558
16.9738,60.2683
16.6843,59.9093
18.7404,59.3446
18.6313,59.8317
17.909300000000002,59.1785
17.593,59.9
