lambda,nu,beta,aic,X5
0.02402380471307719,1.0322838359291937,1.1392562753831887,0.20612849096141503,-489.7917342744063
0.02330438059014989,0.9256984310848708,1.1399353648120996,0.2073749219201304,-515.3447895028589
0.05145443742077331,0.993971642542468,0.8723510082330903,0.2213645602145048,-497.771716992017
0.0333107664261935,1.0662180149976588,0.9405840782888862,0.20546845175688508,-468.6415110720763
0.01790409486261348,1.0175985061003032,1.1020357405038153,0.20079307667321927,-492.8192799431754
0.0238559977751003,0.9666487200941564,0.930823536385734,0.2075268328645009,-434.60987783261226
0.05506136511209261,0.9232831243173658,0.9779318614417164,0.2039406548917412,-493.19378277878513
0.04221296560652314,0.8829912123068244,0.8425482019404904,0.2458992791269947,-531.0016681648121
0.03383560828895433,0.9435460486741026,0.9462888705139676,0.2040225026502439,-483.37781927966535
0.02720493552218904,0.7915056223067709,1.1077623645797865,0.327774782231817,-375.6967382901085
0.0313569403574367,0.9680718215907348,0.9518836966649992,0.2103273722950195,-427.9665714726125
0.03415560062261936,1.0061831133933,0.7317033094528071,0.33500871830950146,-516.136091175041
0.03013716902743822,1.0066174755440778,1.39064170092366,0.20098683613696905,-520.19134389583
0.01932756278482995,0.9695613478997512,0.7132390257206445,0.372829719518454,-481.570244949364
0.02734615590847928,1.140752245902941,0.7020601899099602,0.6037355117745132,-532.594306786475
0.02536105001904233,0.8206580307559733,1.1718424874965183,0.21569702370413796,-451.65892751672845
0.00487478573347124,0.894226968962097,0.0266758892231878,1.7697044319161477,-517.603301672463
0.02069164299443,1.049351460919289,0.38032452836644515,1.1228756857863265,-516.6344488848654
0.01956272814287901,0.8679970778082441,0.40807673750774853,0.8663423023228383,-394.2569945712671
0.04107684151814066,0.9433377679320412,1.0580899864052549,0.21327578218579055,-469.2535992470371
0.03078599897422753,1.0539391212427338,0.8747249965460224,0.20703989047441176,-501.0587487406802
0.06295466923502457,0.9688526612357502,1.3138593423316602,0.2043165160067798,-464.8704450166599
0.057338581421174,0.8813047282180512,1.0755053456109571,0.2188360539905898,-479.92491894266414
0.0639554167655269,0.8904207299428754,1.069617514203424,0.21595398581802705,-586.8786211789156
0.03681155896316747,1.0282556165532917,1.1163859798632596,0.2135341888253499,-475.4736145987322
0.033757272810202917,1.1276767853187293,0.7462976756202934,0.2047065659456771,-615.260241649979
0.02768843454827699,0.923895328176596,1.0126412845772643,0.2192355380396096,-476.10829715543423
0.03226768281509203,0.8951973197368757,0.9909275397145324,0.20507915552085376,-417.8100837029229
0.03455093980023326,0.945656348428735,0.9230892403273064,0.23159834647031513,-441.6465247027472
0.04384521294169227,0.9303494036739142,1.067707250358811,0.22216838825583063,-512.9420194462843
0.03425958692606383,0.9617023098070842,0.869653671687898,0.24848755895114727,-479.22661852836745
0.02414284135472526,0.8370989409963029,0.811554773959496,0.2062607681809137,-413.87600720531987
0.02994108113699143,0.8143757486542418,0.8522125565091412,0.26805521339517635,-441.9068565725411
0.04334135922736538,0.9840681809595913,1.086689017388936,0.20684307941750563,-448.3108922926083
0.01912862918029188,1.0551203277080243,0.8035279022259529,0.2160140515138076,-506.22458951958606
0.03151667950218827,0.9619067380288622,0.247638360389266,1.239913341335496,-478.43677513367106
0.03693176594072613,0.9617127482315232,1.0155586124316434,0.2070604233854139,-427.73036466634494
0.0572621140053705,1.0060632783614885,1.024211896159693,0.21604199730940687,-553.6193834781682
0.04243862832759259,0.908401791852672,0.747724111092691,0.26341657100304594,-427.40169910316945
0.0367357219170803,0.9594490581087748,0.9826514488141735,0.2290342429814707,-500.4401806461765
7.0143289547459e-4,0.9629572139725197,0.972379519588945,0.6594755570959718,-394.9721003231591
0.03795003009301581,1.1075773157635411,0.7960255588924776,0.3155906309104938,-589.5806068269587
0.00995087338050216,0.8767309547686685,0.8944483915437601,0.4063907860797683,-437.7448135666241
0.03371605274277975,0.9606899726169328,0.9742922367371782,0.2261636600411107,-453.246380778922
0.00260121943510116,0.9073681302759532,1.0942333871638308,0.20722234750995425,-475.9414651365355
-0.01933219527759167,1.0104548577678178,1.071408520594045,0.209837409286032,-491.872150823664
0.02472529765985483,0.896602166890393,1.2026157343712571,0.2774713808363405,-459.4620598747267
0.01377624403845503,0.875280971979596,1.03897410657155,0.2201563634859044,-415.1118977284664
0.03284837408721122,0.9403661235118956,0.6897120602758684,0.43173820669872054,-470.32619264449863
0.00287689128775606,0.9629531953802858,0.5912724110573828,0.5041173718407462,-572.6346822996143
0.03729853961305002,0.979884462202402,0.8806461226936588,0.20907898716498055,-509.15628636731526
0.04301211727881508,0.9306368800432904,0.9206776502892182,0.22315820474252251,-470.37116302018194
0.0396015774241529,0.911733098899522,0.23872655351196545,1.1437559843970624,-506.3732671726016
0.04258445289371537,0.8551631034239402,1.0860654675437946,0.21229698547098325,-409.1046315986564
0.02542757676078039,0.953331749026078,1.260741129200439,0.20453978651062643,-537.4705299211646
0.02343162500396616,1.0207195233534814,1.1279342253823743,0.20486202349643515,-465.0895772174608
0.01572456390997863,1.0654113944928585,0.9963926965587512,0.3693065622162085,-433.1930081867115
0.02813193008008126,1.0934969895159137,0.5263478404112817,0.8458339819548832,-586.1166991092841
0.03326260189258093,0.9733241495397504,1.1975650175355286,0.2127708387675599,-386.5088355429434
0.03359331830040945,0.9454924009014226,1.011375243465258,0.24048857337223348,-484.9862463603695
0.01379118678454409,0.9878860479127364,1.2581251078485285,0.2376885057276984,-584.5992529861553
0.01790094409143885,1.0956064032142092,1.120957135423927,0.20480702102795065,-473.2571075565051
0.01741102273207178,1.1242999025722862,1.0506178044827958,0.3289053281859852,-499.14483021724845
0.02747250108465535,0.8660457029471665,1.2661088015854802,0.2022354613222458,-499.1348972049952
0.04234786148689577,0.9609440027716308,0.7768678569152218,0.28311416130234157,-455.1624853126495
0.05611445414437953,1.0213267357676004,0.6969203280465335,0.239099764357806,-515.5753428310957
0.02343834701401081,0.9151734614541868,1.0936643336443568,0.20324687306848463,-506.4594988744052
0.04210498915810258,0.9262737968161044,0.901381371089148,0.2003438856332944,-518.5031299652965
0.0096246870631791,0.9624809792888106,0.9437588838596356,0.20392749910227875,-443.2435692123231
0.00429945523239078,0.8775335360846904,1.596605966843939,0.2130578971399152,-462.9050206791639
0.03368069359728885,0.8218066514120788,0.9611896665309833,0.25760085055883214,-452.3192554640205
0.03590935942342144,0.9800525409176248,0.9798103184068664,0.21478922853053484,-452.9249898585108
0.02743418337049348,1.081807363822235,1.1952714940523543,0.23568731488123673,-491.9707585783117
0.02819351925565944,0.8214130932811212,1.163535007066109,0.2138046849099087,-464.3462550822451
0.02658119122566728,1.1282659559023036,1.122935153058026,0.20707787113477297,-538.8169180817451
0.01729354670388079,0.903607559347572,0.414617957393352,0.9440398526881016,-460.8084991030046
0.0197263271883469,0.924719225418424,1.2344698983130848,0.22402275840993524,-468.54956492270617
0.0227797288826615,1.03772846054309,1.1166692059212404,0.2551406734608044,-436.5332276750655
0.01181052865054565,0.9129469617969048,0.9399190238528302,0.20355531861324425,-497.9942811855744
0.04893687152672605,0.860606243341474,0.8935002556130486,0.22490801433442437,-489.508746027348
0.01412571561493195,1.035385529950493,0.7243557751113876,0.8063560743754801,-432.54836803339185
0.04827506148456952,0.9530945391289808,1.1149538320070274,0.20388621708174484,-553.9700724253184
0.03386618566888731,1.0247348657778366,1.2791234284597857,0.2024708806261536,-461.33037443750413
0.01866356221924864,0.9836546709117754,0.4776396188757578,0.9766857330063764,-479.32219727621305
0.02115274279251535,0.9475801326952664,1.1783494006275412,0.22545282913116751,-491.908637179426
0.03114526669509293,0.989758529159272,0.9490761292217348,0.20653368497624147,-427.6511595691636
0.0421050463446875,0.9484876025752788,0.8176171020534797,0.2059357453735061,-461.5777046542621
0.020080999036174,0.8830093219087585,1.4981069057676109,0.2026114914989649,-527.522241640022
0.04404483914904931,0.9418658810487937,1.1901302983445066,0.20397089540331312,-503.700339704096
0.02271604275991791,1.0131700466672928,1.014597005543437,0.2055865286202537,-546.3824446898273
0.04091426509657207,0.8941172435397678,0.9131741511647832,0.21044753787659776,-468.75759918218046
0.03460762067883159,0.9173218006074096,1.0145334418884524,0.2182487286461585,-475.8160129309099
0.03174686542720064,1.0220050540907335,1.1907099498887084,0.22407663505451372,-672.5186780932629
0.04419929634048137,0.9608187566233888,0.12607527037302776,1.2045804347862783,-588.8132211899813
0.02726821995884392,0.983206949550102,0.6455774289896137,1.028180639500068,-512.5098600435294
0.04425538713752484,1.0163299389318503,0.8366081019221546,0.4268509829838254,-623.913345019985
0.03858748185490202,0.921650872183316,0.7919414252379763,0.2651172357640841,-467.18211500790767
0.01647346930824568,0.9814358812532948,1.1482434135745987,0.20229233709048583,-497.7802728623369
0.03323768404605964,1.0054135322848217,0.6829727729139354,0.29097809353052595,-573.3186657064052
0.01476872193672365,0.900561038357168,0.9398273292696012,0.2015920083914596,-508.3551157471593
0.03140012049466113,0.9998330532221228,0.9327346834189572,0.2021272180477669,-444.2154110897154
0.05071785309996048,0.9608171738633122,0.9255359736363612,0.20198072937694572,-503.37915335574144
0.03060823949354448,1.007509690651951,0.9852948951884982,0.2128925121447443,-432.8355636420861
0.04233225052274726,0.9495846054510552,0.71697660810669706,0.20307607847478756,-564.0749673647902
0.03496853158217871,0.9515884593335068,1.074810466866252,0.2063645141973033,-522.1327936445905
0.05004811733435705,0.9838030340414292,1.306455976401083,0.20347768194914023,-420.4772336172409
0.02804218737545314,1.054002718141128,1.0036622897163985,0.2532458520543204,-534.0395636170633
0.03478790255443476,0.997567326948752,0.8544688349014733,0.2123669202154661,-432.8306524716554
0.02378447532913913,0.9796995823752204,0.8340074423457331,0.3763341997430005,-476.4969187180891
-6.492017156503409e-5,0.915588187861714,1.2976099471824616,0.245849278816161,-524.3014425357856
0.03372484144842215,0.9473908474242388,1.064695883876675,0.203656766608295,-515.8163096935914
0.03943909807564404,0.9603281426535032,0.8700841151707035,0.2105984015842603,-489.5185133337245
0.04416677212025888,0.8098116713195564,0.8286335120515045,0.20864592737627835,-428.326432617248
0.01227710648841709,0.8817573559215174,1.0686966493468122,0.20462698627269207,-487.31980913956977
0.02705030263296561,1.024849087972714,1.3608156327117782,0.21354524165752903,-507.49998592882184
0.01157194947805808,0.9614839686447518,1.060447552336245,0.380753773760282,-418.4574175591202
0.03519313360461147,0.9650679364232584,1.1451427282314568,0.2274805112760052,-439.2025360078105
0.03415805521163512,0.941318564701716,0.8657591150172135,0.20769977143841992,-522.1185970605329
0.03490750361433572,0.9210165562732712,0.5049793131367128,0.6504137178817615,-562.722201620028
0.01794726067576476,1.0734760668495822,1.2146766561746731,0.20451804971748871,-417.7655458404106
0.03540904471090919,1.1056141044801424,1.1620296234739251,0.20278090748233576,-528.9323374212499
0.02575707257421845,0.9222934828955572,1.0560580594507367,0.2028832081531779,-425.4961880262081
0.03701451198748548,0.969111145446603,1.0133248251095035,0.20570395222459772,-571.2219981295066
0.0288939602263643,0.9766500256804784,0.9453035868022276,0.23902263373348492,-421.579369254554
0.02402332427944403,0.951450160879762,0.8990878580720445,0.20255725968270272,-483.18082498066224
0.03399953065158716,1.0547058059937,0.7526670660053792,0.3065513194887147,-439.28986110210417
0.0387830940114882,0.928788492230702,0.7222527636566981,0.3976487830986504,-507.3249761535692
0.03812486471065531,0.91437858617653,0.28864259574283696,1.049075360442003,-417.9406876370433
0.02507966240996035,0.9295540827007124,0.9221738198897698,0.34544249487222367,-516.2991805836066
0.03375746529312873,1.0518131681879963,0.8039249161984887,0.3897499040658943,-556.2316321728808
0.03444438695913674,0.955187867891272,0.8749497314523847,0.21054318920204773,-529.3409235445733
0.02664233402895164,1.0491562900854612,1.4275959110186798,0.23186560381812096,-567.7110864954382
0.02195286470492115,0.9308894159668282,1.2535834990667385,0.2091798929782291,-520.005414732696
0.00709844440291591,0.961041944344524,1.1125079824715316,0.2067576683448802,-502.9152677284833
0.00346040967274196,0.786861843351043,1.4898757633846162,0.20756668877390055,-380.07953568848734
0.04453785126372663,1.0320323803687397,1.1160219162203031,0.2109709435503153,-487.33418244793984
0.03836373189245325,1.0078079630802872,0.9269173982135712,0.2117614993664531,-549.6434721302569
0.00454102656687118,0.9617528137974382,1.153600899287611,0.2145499612403206,-541.4828535907156
0.00532096678258723,0.9361064379812222,1.0755305163463025,0.31477834669718463,-436.8666465355243
0.02497617331986145,1.0388252229691557,0.8519656401451455,0.24207376229350092,-465.5615667625548
0.02172225703771753,1.0055447830765396,0.7800507797076697,0.28728318369225236,-481.30649689261736
0.03935074576724574,0.8593906805400953,0.6623381624093175,0.47094542684505225,-490.18645582073987
0.03985186585675238,0.9700446714930984,0.02109514466667563,1.6764693852419843,-521.2533468859972
0.02705340369189339,1.0390938365498172,0.9750576269649583,0.2006576758840403,-678.5562826943487
0.0525686259436458,1.1665097182485045,0.7953019394183329,0.21120436465973189,-585.1578623868868
-0.01142727950139298,0.9486107514470146,1.420454863496341,0.21225827685088847,-481.2782632707067
0.02804084958051602,1.02325738320707,0.5419208930325923,0.860660620297738,-629.0301051826532
0.00165571851227637,0.9986035610999168,1.1899631095187484,0.21062343268151656,-472.10698353541966
0.05811772154873954,0.9811271701840182,0.8679986459494686,0.2712530906952577,-561.0655379824359
0.02148215441472504,0.8981929592200608,1.001242420286829,0.2319920427678572,-407.7903474406662
0.02196368713100404,0.7904582564280453,1.1812338684306134,0.2015239604690281,-449.81347820041947
0.04061675578763838,0.9282581677011802,0.9905486287213284,0.20328993456764757,-432.07753887984063
0.06402049218480887,0.9036442659403804,1.0141943005261365,0.2063071494862369,-534.5875168858001
0.02714332289431451,0.8485926226545621,1.2837623946257388,0.20639145758084432,-470.83014578746406
0.00662130466974382,0.9335077418394112,1.055515267059867,0.3478854027706054,-428.90865782612354
0.04835990746784383,0.9448482419090068,0.9376639760001264,0.20181194012127557,-471.33320904048514
0.01430208985796136,0.8634954338059269,1.0355525431268346,0.2009620714513914,-494.3452366888264
0.03037217788860114,1.0364183438821448,1.008613660751,0.2012441681896188,-473.22628174951024
0.03031183416366911,1.046437432210279,0.3542023040254588,1.00203919724808,-563.4523525420122
0.04420566155703907,1.0718098045274256,0.6359430287407801,0.20466056297768304,-681.4054706503632
0.01080620436679059,0.9350467191999096,0.24994260189070253,1.30622413007378,-486.9068364277962
0.03263692139942974,0.9505944510996066,0.975625750323697,0.2054424983984216,-462.3671722331219
0.05824681338673312,0.9418971937330006,1.0542535611872694,0.21490459876131357,-451.46453383734365
0.03002380350198385,0.913034956977212,0.9969272473381032,0.204799335341115,-404.2404705349445
0.03888353357560205,0.9949743948889572,0.8733115636633965,0.2012095228318539,-632.0696483852882
0.03173108419164618,1.0311964030916143,0.9400975625247174,0.20348703178091143,-508.19326589811817
0.03956847454145304,1.0269607925532234,0.906761143720149,0.2038578031537861,-540.4631827018925
0.02987215396480085,0.8591499044838966,0.8026134095394017,0.2228073331222916,-440.70018294428746
0.02890267019981832,0.960105506287298,0.9235995505860032,0.2073006227261907,-514.9679900907026
0.03095663468272541,1.058328877330449,1.1276708371784898,0.23627041655913697,-539.422748429452
0.01610871502718399,1.0333637766846575,0.6629915814074425,1.0832567108342503,-527.5833453676339
0.03503238449990238,1.0566975896891633,0.7632212752871745,0.21028481274788105,-473.25615926205137
0.02933038339364503,1.1288745767245554,0.250147990699112,1.0455823292482096,-530.246841267761
0.03653443763708142,0.9059916353880636,0.3240457642703235,1.1674311698823416,-540.6721416052137
0.0313250033704294,0.9005768278847772,1.0381677494727004,0.2053969175365793,-527.9166196281099
-0.00542947393555215,1.0120656519236932,1.3597561112389065,0.374187342937874,-375.76550665982086
0.01194089750337072,0.9664224295560891,1.1894051360598965,0.21350238669089744,-589.9608090169631
0.02290290406574626,0.8261024203605448,0.9016235363676378,0.4484577362900638,-379.6285241630626
0.04149267979465323,0.949816837284907,0.8915751041786584,0.20512740266155607,-475.38868237112865
0.02108104981671003,0.9094687891250296,0.2855988432364267,1.3887044907252593,-483.21342869753016
0.03648686023334147,0.9357465610940028,0.8354096867965839,0.3199307333814291,-459.9782085083102
0.02314342724217949,0.8884418989556309,1.200474291422938,0.20120640459353256,-550.8509982740356
0.02819105915474339,0.9117714421659446,1.0521828921619314,0.22248666142846063,-439.00906524070115
0.0417329835845267,0.863245541391164,0.17812864329386574,1.0419742541941257,-607.5063583173585
0.03985751649349244,1.070936870307266,0.9250026621434552,0.34384832912842284,-495.5612682477493
0.03688378125784053,0.9628144265660302,1.2872827971584035,0.23575322292691991,-474.62649276895854
0.03082843994051854,0.9357283240108436,0.8538695827607443,0.5618250501341507,-492.7306959261475
0.0317586901520034,0.8163510257985346,1.0482478531856874,0.3785771266907049,-452.5366788093109
0.03571892355417373,0.9578225992185814,0.8303776716525874,0.3641440967610369,-486.3107855674507
0.03990022277377682,0.971765620341776,0.6926142968966659,0.2280802602051034,-470.0225408957508
0.05082187239904941,0.9206103792263152,0.9305215570852852,0.20694671595816097,-460.2838911370045
0.0222513857341717,0.95739437311187,0.867951700565424,0.21360741256243063,-523.0011455598847
0.02976005644995319,0.9622067600911076,0.9794792835757734,0.21563857517317325,-535.7286375802316
0.03732412812136348,0.9744842919358764,0.9927205370683728,0.20569796637302504,-515.8662644208853
0.03425693362736766,1.0043369601584926,0.6744602060218554,0.36557568410284896,-524.2741838041504
0.0371469671948713,0.8594178993822356,1.011579859862965,0.2181680364333549,-445.0731276258052
0.03409144993868909,1.0132863252443849,0.7325863195503411,0.21753429891337683,-459.4028808661983
0.03994142619822944,0.9659716092444924,1.0372744997758263,0.22270197202236217,-535.8449234768718
0.00990070334656158,0.907617928732248,0.02369207899692192,1.7516850006572466,-492.7384978495388
0.03437491677531543,0.9701155415248862,0.8861176028188957,0.2254636891831313,-454.9013086225998
