lambda,nu,beta,aic
-0.25595703130520925,1.0533203123054655,0.4004832994055537,-683.9545593119119
0.03779296875000001,0.8564453125000002,0.39349978362640314,-748.9336678309924
0.00570877209059441,0.8720285395033522,0.3854604485808544,-770.4892164740663
4.4326782226562e-4,0.8873031616210938,0.3850481353136089,-594.7043173023208
-0.35269546509267113,1.0993667602580042,0.38625093446287706,-632.1673063517842
-0.00699462890708124,0.7851806640773957,0.3897523473856283,-412.49133951770546
-0.0177734375,0.958984375,0.38751988961804984,-903.8496737095955
0.23381195068359367,0.7785797119140644,0.3845706162935011,-675.9275376803453
-0.399346426129341,0.9799929916858712,0.40377167798845914,-777.3164783850052
-0.3445512771606456,0.8871509552001975,0.39265626587734986,-513.80088653657
-0.500583246052702,1.0562683466982004,0.39242026766653937,-464.6804596583088
0.01093154549598693,0.9448078989982605,0.393293450821162,-737.7100556245691
-0.06396284103393556,1.000973320007325,0.39506256094468795,-603.1299605800687
0.031439208984375,0.8813110351562501,0.3884710301741675,-965.3289443010576
-0.304696083068847,1.1492984771728532,0.3962291907104357,-735.453070432332
-0.5536878621449292,0.8876572758367456,0.4038774203243039,-417.6969704288954
0.00305175791418498,0.8882324216408362,0.39338433557772035,-739.510330858976
-0.00103624252257789,0.9542415370528357,0.3811748186300769,-676.7987731666535
-0.3895546592772008,0.8672371044754996,0.3973656429606981,-558.4569959607579
0.01084595394009966,0.8884887523728365,0.3919334016598008,-687.0355483035223
0.00156249999999999,0.934375,0.3973333650826004,-721.2631108166916
0.11368304984851818,0.9507833899954868,0.38835204372557264,-635.9513065531437
0.02460326685538803,0.7859497235913749,0.3928999468665003,-748.7671981875583
0.6655700360182151,0.6991030023181023,0.38626717460842375,-920.8739836230608
-0.17919921874999997,1.012304687499999,0.3868132089833487,-586.5484386440157
0.03593750147476211,1.0656250034513464,0.3889243804590964,-866.2966357599676
0.01640625,0.8359375000000001,0.37865958279741047,-571.0191339991366
0.0044676834797116,0.7713379604523932,0.39246932640345195,-444.0753475504457
-0.4648262637590489,0.9833694980222112,0.39015119176531265,-684.5452644708716
0.11602983474731446,0.8662946701049813,0.3859041324915192,-633.6860399190559
0.0093109130859375,0.872723388671875,0.39311635693347013,-678.6185648245391
0.19833374023437497,0.6188110351562516,0.3916802393014577,-516.8532870016252
0.02252158626843795,0.693920738897942,0.3883935988456856,-612.3510340250432
0.00155813389041577,0.934371063083718,0.3857905295535348,-458.4375265552562
-0.12399508958094624,0.934514188769818,0.3964339355420686,-525.8316560360345
-0.2831298828124999,0.9805175781250014,0.3923143781053374,-852.8501361386798
-0.0060882568359123,0.8332458496094561,0.3836362008289151,-435.140890678239
0.26868743896484376,0.902139282226562,0.3887446546292967,-720.0212236957709
0.02361583024575173,0.7945178127952132,0.3922682022734561,-816.5384221326885
0.02554208068177105,0.8924158023670318,0.3879495179954161,-730.9163968525336
-0.3516906738281225,0.9930786132812456,0.3880579590276327,-562.9008274110902
0.030859375,1.0164062499999995,0.3811976935716775,-835.8601569339853
-0.5235054016113281,0.977729797363283,0.3992429637399635,-523.2157490604764
-0.06656097173690795,0.9258929967880248,0.3915300697909713,-745.2362179372121
0.034765629151633,0.8523437414102888,0.3875189820621538,-518.4139088270613
-0.4315267346479481,1.1229389231934763,0.3867018212819558,-455.5754193746784
-0.03457641588914664,0.8361938479065582,0.3941888501667584,-631.2855903105324
-0.5008912452155216,0.9224425309851764,0.3929121890388026,-468.479949189224
-0.3974422454833984,0.997035980224612,0.3888494973380125,-687.4865552937886
-0.3540039148339831,0.9056640800332302,0.39217396211745376,-927.1557324208056
0.11650390625,0.9630859374999994,0.3867056548225631,-880.5923461753468
-0.42663574218750006,0.9866699218750046,0.3926254013937295,-676.9548343682377
0.00181873923576212,0.9423452310444612,0.3850548980424478,-841.1931864386784
0.00784149169921875,0.7679733276367188,0.39005894338325536,-359.0903195541482
-0.2568871086968476,0.963247652963142,0.3881561149681782,-674.7386316364646
-0.00439453125,0.9220703124999998,0.3831351067135511,-629.1532543340682
-0.06777221038937568,1.0251871898770324,0.3897592710468229,-616.2180708596534
-0.2431263175634443,1.0591848919035491,0.38974673063075127,-770.1187216030003
0.01159442058415152,0.9301188574987465,0.4010891669319198,-601.3192793537037
0.0048314850747893,0.8215146866055745,0.38854738573439235,-768.5119739950896
0.0974403670245665,0.9332458163378584,0.3942794492649995,-893.6940145844301
-0.1509607315063477,1.0143314361572262,0.39227709976047703,-615.7239610638803
-0.33469299301505084,1.2070952042937266,0.3892302714496217,-634.0906532433428
0.00712738037108862,0.8111358642578186,0.3834298425551309,-714.4140781249525
0.02048492431640286,0.8736846923828252,0.3900356713053701,-643.8956468687056
-5.3411200387927e-4,0.9998719363218698,0.3899008741301278,-959.4273495518896
-0.0104557037353342,0.837491607666,0.39446858503228,-753.4207172478095
-0.3640208387514575,0.9311699883546698,0.3866461392729145,-762.7777029192835
-0.4086450576782503,0.9070499420165832,0.396355067622806,-743.9443077322894
-0.5139463284524252,0.9815714971564848,0.3926958894634593,-383.4283582379662
0.7621953701178427,0.5572614575299704,0.386990436546453,-807.8593984751019
-6.3283448646441e-4,0.8220937252070603,0.3902307526988155,-791.8613393642463
-0.28273315429687507,1.173034667968748,0.39224895389757103,-641.5316147599829
-0.01630849230132298,0.7990233576187163,0.39032531875605314,-402.56650868070665
0.042138671875,1.0020507812500004,0.3848944254403387,-713.2674435799267
-0.2504894985584689,0.8236334178131114,0.39783726055145985,-552.0962387135442
-0.23028564453125,0.9020751953124976,0.3988188035233207,-389.009627753248
0.01260680863072138,0.9257873512151036,0.39237394409523824,-702.3425184693665
0.00762982508167624,0.7367382227443159,0.39572853808170977,-747.5082460069953
1.0972508848442657,0.5651046344424027,0.39002817455307703,-891.1292286278713
-0.33176365533727226,1.1035654825973344,0.3871925006884327,-577.6977517869086
0.00419616978224617,0.8463195717566857,0.3812067008444299,-569.9107052047602
0.00547818541526138,0.954268229007726,0.38878537129139823,-660.3637461293474
-0.4239282608032226,1.0253543853759772,0.394541265364777,-730.145108028617
-0.5540378511365098,1.095256680543243,0.3929882175613774,-493.5676251186196
-0.33036390719935294,1.039495324902234,0.3864002592404221,-474.5515318024545
0.00814208984375,0.8056884765625001,0.3811891443624777,-515.9206167850839
0.00364238816824524,0.8624052445802647,0.3820862938916378,-658.2186337061294
0.10917968750000004,0.8769531250000009,0.3879777520819276,-763.3421965572725
-0.00699234008789062,0.92902374267578125,0.39201396966629887,-854.1783649432555
-0.00278320312499999,0.7887695312500003,0.3975260588605099,-781.7048735545518
-0.00631103515624999,0.8549072265625004,0.3899018878195329,-637.0736134508602
0.01264820098876953,0.9999279022216796,0.3806179620557356,-959.4860862604096
-0.03489122390747075,0.8560487747192387,0.4018608101847214,-804.4367541114798
0.02763252258300782,0.9348716735839846,0.39567463844999023,-822.3048957478809
0.02472962466999888,1.0034069212153554,0.38684611776919337,-891.828439426718
-0.3735802911556676,0.96955213701294,0.381121024008414,-817.3177061918732
-0.2891296386718749,0.9823120117187484,0.395280154507024,-481.0716164020687
0.01307049362413294,0.932453234002412,0.37997081128549415,-932.165982789984
0.06635510639753195,0.7685171677265314,0.3954494740126077,-687.6773549638124
0.00156249999999999,0.934375,0.3936708051549653,-594.1414190889127
0.0417999267578125,1.0408874511718749,0.38417579471892616,-611.6604122047047
-0.01050887107849121,0.8528624534606933,0.3972234441117805,-729.0666472971711
0.012030029296875,0.88695068359375,0.3963388401641266,-740.662627341424
-0.01998386383063981,0.9788913726808076,0.3877843016581004,-790.5593294865967
3.774315118863985e-5,0.9998952955007658,0.39290756976165736,-571.2764912507632
4.6207691856401155e-17,0.9999999999999992,0.39628011904167454,-773.8175772390646
-0.229771654643608,0.8985741965310682,0.3904829434277039,-637.6779395313933
-0.03789377553621306,0.8464696806157006,0.3920251010647474,-627.2397357238096
-0.5589130610227586,1.0235668361186998,0.3960066557403605,-654.1102003109663
0.00969696044921875,0.8531768798828125,0.3961479158314799,-757.833447950844
-0.4114840252324938,1.03375714831054,0.3829927439223611,-678.2716549254787
-3.515431823871e-4,0.7361141345061697,0.38829695107776496,-719.8640091430893
